Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-08-08,Online Learning Platform,Educational Content,Asia Pacific,Japan,Kawasaki,219169,225409,Retail,2024-Q3,2024-08
2024-08-09,Professional Certification Program,Research Platforms,Europe,Germany,Stuttgart,249470,237283,Retail,2024-Q3,2024-08
2024-08-09,STEM Education Kit,Learning Management,Europe,Germany,Düsseldorf,140985,193566,Direct Sales,2024-Q3,2024-08
2024-08-10,Corporate Training Program,Training Programs,North America,Mexico,Guadalajara,205786,199436,Online,2024-Q3,2024-08
2024-08-10,Professional Certification Program,Assessment Tools,North America,Canada,Toronto,249205,221240,Partner,2024-Q3,2024-08
2024-08-11,Online Learning Platform,Educational Content,Europe,United Kingdom,Edinburgh,180423,168474,Direct Sales,2024-Q3,2024-08
2024-08-11,Academic Research Database,Assessment Tools,Asia Pacific,Singapore,Central,205983,227727,Partner,2024-Q3,2024-08
2024-08-12,Language Learning App,Learning Management,Asia Pacific,Australia,Melbourne,227741,210455,Partner,2024-Q3,2024-08
2024-08-13,Educational Analytics Platform,Educational Content,North America,Canada,Montreal,83502,73342,Mobile App,2024-Q3,2024-08
2024-08-13,Online Learning Platform,Training Programs,North America,United States,Houston,89113,70762,Wholesale,2024-Q3,2024-08
2024-08-14,Student Assessment Tool,Training Programs,North America,Canada,Vancouver,266712,226744,Partner,2024-Q3,2024-08
2024-08-14,Educational Analytics Platform,Training Programs,Asia Pacific,Australia,Sunshine Coast,145543,193255,Retail,2024-Q3,2024-08
2024-08-14,Library Management System,Educational Content,Europe,France,Paris,235684,276252,Online,2024-Q3,2024-08
2024-08-15,Interactive Course Content,Research Platforms,Asia Pacific,Australia,Wollongong,216153,277168,Retail,2024-Q3,2024-08
2024-08-15,Student Assessment Tool,Educational Content,North America,Mexico,Nezahualcóyotl,80486,62751,Partner,2024-Q3,2024-08
2024-08-16,Virtual Classroom Software,Training Programs,Europe,Germany,Munich,166238,139615,Wholesale,2024-Q3,2024-08
2024-08-16,Language Learning App,Educational Content,Asia Pacific,Singapore,Central,136097,108891,Direct Sales,2024-Q3,2024-08
2024-08-16,Online Learning Platform,Research Platforms,Asia Pacific,Australia,Brisbane,215839,199659,Online,2024-Q3,2024-08
2024-08-16,Virtual Classroom Software,Learning Management,North America,Mexico,Monterrey,185717,183216,Retail,2024-Q3,2024-08
2024-08-16,Student Information System,Educational Content,North America,United States,Philadelphia,163697,213013,Mobile App,2024-Q3,2024-08
2024-08-17,Exam Proctoring System,Educational Content,North America,United States,San Diego,100142,97665,Wholesale,2024-Q3,2024-08
2024-08-17,Virtual Classroom Software,Assessment Tools,Europe,France,Montpellier,151166,206547,Mobile App,2024-Q3,2024-08
2024-08-17,Professional Certification Program,Assessment Tools,Europe,United Kingdom,Sheffield,138431,157919,Online,2024-Q3,2024-08
2024-08-18,Professional Certification Program,Educational Content,Europe,Germany,Frankfurt,84958,100265,Mobile App,2024-Q3,2024-08
2024-08-18,Interactive Course Content,Research Platforms,North America,United States,San Jose,83868,63175,Partner,2024-Q3,2024-08
2024-08-18,Student Assessment Tool,Assessment Tools,Asia Pacific,Singapore,Northeast,193620,140708,Online,2024-Q3,2024-08
2024-08-20,Language Learning App,Educational Content,Asia Pacific,Singapore,East,315618,422451,Direct Sales,2024-Q3,2024-08
2024-08-20,Educational Video Series,Assessment Tools,Europe,France,Montpellier,182332,188708,Partner,2024-Q3,2024-08
2024-08-21,Professional Certification Program,Educational Content,Asia Pacific,Singapore,North,176994,229635,Retail,2024-Q3,2024-08
2024-08-23,Academic Research Database,Training Programs,Europe,Germany,Leipzig,455939,449727,Direct Sales,2024-Q3,2024-08
2024-08-24,Academic Research Database,Educational Content,Asia Pacific,Australia,Melbourne,178534,202387,Online,2024-Q3,2024-08
2024-08-24,Student Assessment Tool,Training Programs,Europe,United Kingdom,Bristol,193331,246663,Partner,2024-Q3,2024-08
2024-08-26,Educational Analytics Platform,Training Programs,Europe,United Kingdom,Birmingham,277917,383601,Retail,2024-Q3,2024-08
2024-08-27,Virtual Classroom Software,Research Platforms,Asia Pacific,Singapore,Central,251505,243776,Direct Sales,2024-Q3,2024-08
2024-08-28,Virtual Classroom Software,Training Programs,North America,Canada,Vancouver,236070,175117,Direct Sales,2024-Q3,2024-08
2024-08-28,Corporate Training Program,Assessment Tools,Europe,United Kingdom,Cardiff,129280,177689,Wholesale,2024-Q3,2024-08
2024-09-01,Academic Research Database,Learning Management,North America,Canada,Quebec City,87517,86904,Partner,2024-Q3,2024-09
2024-09-01,Academic Research Database,Educational Content,Asia Pacific,Australia,Melbourne,135814,104743,Partner,2024-Q3,2024-09
2024-09-02,Online Learning Platform,Assessment Tools,Europe,United Kingdom,Leeds,202506,242538,Online,2024-Q3,2024-09
2024-09-02,Language Learning App,Educational Content,Europe,France,Nantes,169541,140903,Mobile App,2024-Q3,2024-09
2024-09-02,Virtual Classroom Software,Learning Management,Europe,France,Montpellier,253551,322007,Direct Sales,2024-Q3,2024-09
2024-09-04,Academic Research Database,Educational Content,North America,Canada,Vancouver,208670,279331,Retail,2024-Q3,2024-09
2024-09-04,Corporate Training Program,Research Platforms,Europe,France,Marseille,141839,159288,Wholesale,2024-Q3,2024-09
2024-09-04,Interactive Course Content,Assessment Tools,Europe,United Kingdom,Cardiff,209262,287608,Direct Sales,2024-Q3,2024-09
2024-09-05,Virtual Classroom Software,Assessment Tools,North America,Canada,Mississauga,173481,220718,Mobile App,2024-Q3,2024-09
2024-09-05,Corporate Training Program,Training Programs,Europe,United Kingdom,London,144125,157079,Wholesale,2024-Q3,2024-09
2024-09-06,Online Learning Platform,Learning Management,North America,United States,Philadelphia,95878,118210,Mobile App,2024-Q3,2024-09
2024-09-07,Online Learning Platform,Assessment Tools,Europe,United Kingdom,Manchester,141321,153472,Wholesale,2024-Q3,2024-09
2024-09-07,Library Management System,Training Programs,Europe,Germany,Dortmund,78193,75126,Partner,2024-Q3,2024-09
2024-09-08,Skills Training Workshop,Educational Content,Europe,United Kingdom,Leeds,270383,225642,Online,2024-Q3,2024-09
2024-09-08,Interactive Course Content,Research Platforms,Europe,France,Paris,142156,114435,Partner,2024-Q3,2024-09
2024-09-09,Educational Video Series,Assessment Tools,North America,Canada,Montreal,143567,195629,Online,2024-Q3,2024-09
2024-09-09,Online Learning Platform,Research Platforms,North America,Mexico,Zapopan,192532,149474,Direct Sales,2024-Q3,2024-09
2024-09-09,Exam Proctoring System,Training Programs,Europe,Germany,Munich,89729,81550,Online,2024-Q3,2024-09
2024-09-09,Online Learning Platform,Learning Management,North America,Canada,Vancouver,225162,259942,Partner,2024-Q3,2024-09
2024-09-11,STEM Education Kit,Learning Management,Asia Pacific,Australia,Brisbane,85431,65406,Online,2024-Q3,2024-09
2024-09-12,Student Assessment Tool,Training Programs,Europe,Germany,Hamburg,106494,102580,Wholesale,2024-Q3,2024-09
2024-09-12,STEM Education Kit,Assessment Tools,North America,United States,San Diego,173938,210046,Mobile App,2024-Q3,2024-09
2024-09-13,Library Management System,Research Platforms,North America,Mexico,Mexico City,60501,51652,Wholesale,2024-Q3,2024-09
2024-09-14,Interactive Course Content,Learning Management,Asia Pacific,Singapore,West,328281,271258,Direct Sales,2024-Q3,2024-09
2024-09-15,Student Information System,Research Platforms,North America,United States,Los Angeles,474711,650443,Direct Sales,2024-Q3,2024-09
2024-09-16,Skills Training Workshop,Assessment Tools,North America,United States,Dallas,231419,163882,Direct Sales,2024-Q3,2024-09
2024-09-17,Interactive Course Content,Educational Content,Europe,Germany,Berlin,271694,361765,Online,2024-Q3,2024-09
2024-09-18,Virtual Classroom Software,Research Platforms,Asia Pacific,Japan,Nagoya,146157,102602,Online,2024-Q3,2024-09
2024-09-18,Virtual Classroom Software,Learning Management,Asia Pacific,Australia,Gold Coast,124550,104034,Partner,2024-Q3,2024-09
2024-09-19,Online Learning Platform,Assessment Tools,North America,United States,Phoenix,97285,89491,Partner,2024-Q3,2024-09
2024-09-20,Interactive Course Content,Training Programs,Asia Pacific,Singapore,North,178796,223691,Retail,2024-Q3,2024-09
2024-09-20,Student Assessment Tool,Training Programs,Europe,France,Montpellier,164379,117575,Retail,2024-Q3,2024-09
2024-09-20,STEM Education Kit,Training Programs,North America,Canada,Hamilton,99812,90216,Online,2024-Q3,2024-09
2024-09-20,Skills Training Workshop,Assessment Tools,Asia Pacific,Australia,Adelaide,89752,85936,Retail,2024-Q3,2024-09
2024-09-21,Skills Training Workshop,Research Platforms,Europe,France,Nice,314586,352284,Retail,2024-Q3,2024-09
2024-09-21,Professional Certification Program,Educational Content,Europe,Germany,Hamburg,121390,148778,Retail,2024-Q3,2024-09
2024-09-21,Corporate Training Program,Learning Management,North America,Mexico,Mexico City,99773,130057,Mobile App,2024-Q3,2024-09
2024-09-21,Exam Proctoring System,Research Platforms,North America,Mexico,Monterrey,155122,149379,Mobile App,2024-Q3,2024-09
2024-09-21,Educational Video Series,Educational Content,North America,United States,Phoenix,197377,265007,Online,2024-Q3,2024-09
2024-09-23,Corporate Training Program,Learning Management,Asia Pacific,Australia,Brisbane,186351,159886,Direct Sales,2024-Q3,2024-09
2024-09-23,Library Management System,Educational Content,Europe,France,Nice,70788,75763,Mobile App,2024-Q3,2024-09
2024-09-24,Library Management System,Learning Management,Europe,Germany,Leipzig,108590,82588,Wholesale,2024-Q3,2024-09
2024-09-24,Skills Training Workshop,Research Platforms,Asia Pacific,Australia,Melbourne,174877,198704,Partner,2024-Q3,2024-09
2024-09-25,Educational Analytics Platform,Training Programs,Europe,United Kingdom,Edinburgh,109134,143519,Wholesale,2024-Q3,2024-09
2024-09-26,Skills Training Workshop,Training Programs,Europe,Germany,Hamburg,141287,184476,Partner,2024-Q3,2024-09
2024-09-26,Online Learning Platform,Training Programs,Europe,United Kingdom,Leeds,139532,179246,Partner,2024-Q3,2024-09
2024-09-28,Educational Analytics Platform,Training Programs,Asia Pacific,Singapore,North,147792,111129,Online,2024-Q3,2024-09
2024-09-28,Virtual Classroom Software,Training Programs,Europe,United Kingdom,Edinburgh,287629,372942,Direct Sales,2024-Q3,2024-09
2024-09-28,Virtual Classroom Software,Learning Management,North America,Mexico,Nezahualcóyotl,82793,62374,Mobile App,2024-Q3,2024-09
2024-09-28,STEM Education Kit,Assessment Tools,Europe,United Kingdom,Edinburgh,82880,66778,Partner,2024-Q3,2024-09
2024-10-02,Educational Analytics Platform,Educational Content,North America,United States,San Jose,248398,213322,Partner,2024-Q4,2024-10
2024-10-02,Educational Analytics Platform,Assessment Tools,North America,Canada,Montreal,213767,249921,Wholesale,2024-Q4,2024-10
2024-10-02,Academic Research Database,Assessment Tools,Asia Pacific,Singapore,East,54837,72745,Online,2024-Q4,2024-10
2024-10-02,Educational Video Series,Educational Content,Asia Pacific,Australia,Brisbane,82912,86321,Wholesale,2024-Q4,2024-10
2024-10-02,Library Management System,Learning Management,Europe,Germany,Leipzig,190937,201562,Online,2024-Q4,2024-10
2024-10-03,Academic Research Database,Research Platforms,Asia Pacific,Australia,Perth,248372,216466,Direct Sales,2024-Q4,2024-10
2024-10-05,Student Assessment Tool,Training Programs,Europe,United Kingdom,Leeds,60790,70635,Online,2024-Q4,2024-10
2024-10-05,Interactive Course Content,Assessment Tools,Europe,United Kingdom,Leeds,358024,398904,Direct Sales,2024-Q4,2024-10
2024-10-05,Professional Certification Program,Learning Management,North America,United States,Los Angeles,161257,152169,Partner,2024-Q4,2024-10
2024-10-06,Skills Training Workshop,Training Programs,Asia Pacific,Australia,Perth,150120,153586,Partner,2024-Q4,2024-10
2024-10-06,Virtual Classroom Software,Assessment Tools,Europe,Germany,Frankfurt,265855,257705,Partner,2024-Q4,2024-10
2024-10-09,Interactive Course Content,Educational Content,Europe,France,Paris,216325,190858,Mobile App,2024-Q4,2024-10
2024-10-09,Skills Training Workshop,Learning Management,North America,United States,Chicago,218715,272176,Retail,2024-Q4,2024-10
2024-10-09,Language Learning App,Learning Management,Europe,Germany,Dortmund,175466,207945,Wholesale,2024-Q4,2024-10
2024-10-09,Skills Training Workshop,Research Platforms,North America,United States,Houston,283636,332615,Direct Sales,2024-Q4,2024-10
2024-10-10,Corporate Training Program,Assessment Tools,Asia Pacific,Singapore,North,86463,102380,Online,2024-Q4,2024-10
2024-10-10,Student Assessment Tool,Research Platforms,North America,Mexico,Zapopan,330847,321452,Partner,2024-Q4,2024-10
2024-10-10,Student Assessment Tool,Educational Content,Asia Pacific,Singapore,North,167727,212455,Retail,2024-Q4,2024-10
2024-10-11,Language Learning App,Research Platforms,Asia Pacific,Australia,Gold Coast,71505,88841,Wholesale,2024-Q4,2024-10
2024-10-11,Student Information System,Educational Content,Europe,Germany,Munich,188802,222224,Mobile App,2024-Q4,2024-10
2024-10-12,Educational Video Series,Learning Management,Asia Pacific,Japan,Saitama,95348,122925,Mobile App,2024-Q4,2024-10
2024-10-12,Student Information System,Research Platforms,Asia Pacific,Australia,Brisbane,267279,347089,Retail,2024-Q4,2024-10
2024-10-13,Virtual Classroom Software,Educational Content,North America,Canada,Winnipeg,114537,100900,Online,2024-Q4,2024-10
2024-10-13,Exam Proctoring System,Learning Management,Asia Pacific,Japan,Kawasaki,202047,192284,Online,2024-Q4,2024-10
2024-10-14,Virtual Classroom Software,Educational Content,Asia Pacific,Singapore,North,191243,235668,Mobile App,2024-Q4,2024-10
2024-10-14,STEM Education Kit,Assessment Tools,Europe,United Kingdom,Manchester,154143,110940,Mobile App,2024-Q4,2024-10
2024-10-14,Virtual Classroom Software,Assessment Tools,Europe,Germany,Berlin,116108,116356,Mobile App,2024-Q4,2024-10
2024-10-14,Educational Analytics Platform,Educational Content,North America,Canada,Quebec City,111376,79650,Wholesale,2024-Q4,2024-10
2024-10-14,Online Learning Platform,Research Platforms,Europe,Germany,Berlin,364040,362870,Direct Sales,2024-Q4,2024-10
2024-10-16,Online Learning Platform,Assessment Tools,Europe,France,Lyon,168315,181503,Wholesale,2024-Q4,2024-10
2024-10-17,Exam Proctoring System,Research Platforms,Europe,France,Lille,235348,305073,Partner,2024-Q4,2024-10
2024-10-17,Skills Training Workshop,Assessment Tools,Europe,Germany,Stuttgart,140657,174709,Partner,2024-Q4,2024-10
2024-10-18,Language Learning App,Assessment Tools,North America,United States,Houston,86891,82111,Retail,2024-Q4,2024-10
2024-10-18,Interactive Course Content,Learning Management,North America,Mexico,Zapopan,145862,167260,Mobile App,2024-Q4,2024-10
2024-10-19,Student Information System,Research Platforms,Asia Pacific,Japan,Kawasaki,163289,162366,Online,2024-Q4,2024-10
2024-10-19,Student Assessment Tool,Assessment Tools,North America,Mexico,Tijuana,70283,51631,Wholesale,2024-Q4,2024-10
2024-10-19,Student Assessment Tool,Learning Management,Europe,United Kingdom,Edinburgh,141491,192596,Mobile App,2024-Q4,2024-10
2024-10-20,Student Information System,Assessment Tools,North America,United States,Philadelphia,109417,80340,Direct Sales,2024-Q4,2024-10
2024-10-21,Academic Research Database,Educational Content,North America,United States,Philadelphia,96474,132971,Mobile App,2024-Q4,2024-10
2024-10-21,Educational Analytics Platform,Training Programs,North America,United States,Houston,151080,154869,Wholesale,2024-Q4,2024-10
2024-10-21,Educational Analytics Platform,Educational Content,North America,Mexico,Chihuahua,314904,316505,Direct Sales,2024-Q4,2024-10
2024-10-21,Exam Proctoring System,Training Programs,Asia Pacific,Singapore,North,330764,276030,Direct Sales,2024-Q4,2024-10
2024-10-22,STEM Education Kit,Assessment Tools,Asia Pacific,Australia,Canberra,206691,287970,Retail,2024-Q4,2024-10
2024-10-23,Educational Video Series,Educational Content,Europe,France,Montpellier,178586,150001,Wholesale,2024-Q4,2024-10
2024-10-24,Virtual Classroom Software,Learning Management,North America,Canada,Quebec City,186370,218591,Wholesale,2024-Q4,2024-10
2024-10-24,Student Assessment Tool,Educational Content,Europe,France,Marseille,199444,241364,Mobile App,2024-Q4,2024-10
2024-10-25,Skills Training Workshop,Training Programs,North America,Canada,Montreal,238828,300140,Direct Sales,2024-Q4,2024-10
2024-10-26,Educational Analytics Platform,Training Programs,Europe,United Kingdom,Liverpool,85480,119595,Wholesale,2024-Q4,2024-10
2024-10-26,Skills Training Workshop,Training Programs,North America,United States,New York,119689,156539,Direct Sales,2024-Q4,2024-10
2024-10-28,Virtual Classroom Software,Assessment Tools,North America,Canada,Montreal,197856,205824,Mobile App,2024-Q4,2024-10
2024-11-01,Online Learning Platform,Research Platforms,North America,United States,Los Angeles,113215,107384,Wholesale,2024-Q4,2024-11
2024-11-01,STEM Education Kit,Educational Content,Asia Pacific,Australia,Gold Coast,256046,352242,Partner,2024-Q4,2024-11
2024-11-02,STEM Education Kit,Research Platforms,North America,United States,San Diego,120744,115555,Partner,2024-Q4,2024-11
2024-11-04,Language Learning App,Research Platforms,Asia Pacific,Japan,Kobe,156349,177219,Online,2024-Q4,2024-11
2024-11-05,Educational Video Series,Educational Content,Asia Pacific,Japan,Saitama,64477,84474,Wholesale,2024-Q4,2024-11
2024-11-05,Exam Proctoring System,Assessment Tools,North America,Mexico,Zapopan,259531,234201,Online,2024-Q4,2024-11
2024-11-05,Educational Video Series,Assessment Tools,Europe,United Kingdom,Leeds,223284,233723,Direct Sales,2024-Q4,2024-11
2024-11-06,Educational Analytics Platform,Research Platforms,Asia Pacific,Singapore,Northeast,125835,156393,Direct Sales,2024-Q4,2024-11
2024-11-06,Educational Analytics Platform,Assessment Tools,North America,United States,New York,191765,166400,Direct Sales,2024-Q4,2024-11
2024-11-07,Library Management System,Assessment Tools,Asia Pacific,Singapore,North,78890,71624,Direct Sales,2024-Q4,2024-11
2024-11-07,STEM Education Kit,Educational Content,North America,Canada,Hamilton,206165,217409,Wholesale,2024-Q4,2024-11
2024-11-08,Skills Training Workshop,Learning Management,Asia Pacific,Japan,Kawasaki,163471,139868,Online,2024-Q4,2024-11
2024-11-10,Academic Research Database,Learning Management,Asia Pacific,Singapore,West,68006,47850,Wholesale,2024-Q4,2024-11
2024-11-10,STEM Education Kit,Research Platforms,Asia Pacific,Singapore,West,160966,135525,Wholesale,2024-Q4,2024-11
2024-11-11,Exam Proctoring System,Training Programs,Asia Pacific,Japan,Yokohama,158489,113164,Direct Sales,2024-Q4,2024-11
2024-11-12,Language Learning App,Educational Content,North America,Canada,Quebec City,256944,255345,Online,2024-Q4,2024-11
2024-11-12,STEM Education Kit,Training Programs,North America,Mexico,Mexico City,164067,214153,Mobile App,2024-Q4,2024-11
2024-11-12,Academic Research Database,Learning Management,North America,Mexico,Juárez,259015,317586,Mobile App,2024-Q4,2024-11
2024-11-13,Academic Research Database,Training Programs,Europe,Germany,Dortmund,54021,63031,Wholesale,2024-Q4,2024-11
2024-11-13,Online Learning Platform,Educational Content,Asia Pacific,Singapore,Central,68418,65143,Retail,2024-Q4,2024-11
2024-11-15,Interactive Course Content,Assessment Tools,Asia Pacific,Japan,Tokyo,270347,248235,Direct Sales,2024-Q4,2024-11
2024-11-15,Interactive Course Content,Educational Content,Europe,France,Marseille,294394,295078,Partner,2024-Q4,2024-11
2024-11-16,Online Learning Platform,Educational Content,North America,Mexico,Juárez,171158,121563,Online,2024-Q4,2024-11
2024-11-16,Professional Certification Program,Educational Content,North America,United States,Dallas,101267,76356,Wholesale,2024-Q4,2024-11
2024-11-17,Educational Video Series,Training Programs,North America,United States,San Jose,69787,87334,Wholesale,2024-Q4,2024-11
2024-11-17,Educational Analytics Platform,Educational Content,North America,Canada,Ottawa,124877,138903,Partner,2024-Q4,2024-11
2024-11-19,Virtual Classroom Software,Assessment Tools,Europe,Germany,Essen,129136,110681,Direct Sales,2024-Q4,2024-11
2024-11-20,Student Information System,Learning Management,Europe,France,Nice,188824,225607,Wholesale,2024-Q4,2024-11
2024-11-21,STEM Education Kit,Assessment Tools,North America,Canada,Quebec City,214722,286347,Retail,2024-Q4,2024-11
2024-11-21,Student Assessment Tool,Learning Management,Europe,Germany,Düsseldorf,235267,324292,Partner,2024-Q4,2024-11
2024-11-22,Student Information System,Research Platforms,Asia Pacific,Australia,Gold Coast,76827,95980,Retail,2024-Q4,2024-11
