Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-07-02,Real Estate CRM Platform,Investment Properties,North America,Mexico,Chihuahua,196491,204245,Online,2024-Q3,2024-07
2024-07-02,Real Estate CRM Platform,Property Management,Europe,Germany,Düsseldorf,103112,92226,Retail,2024-Q3,2024-07
2024-07-02,Virtual Property Tours,Real Estate Technology,North America,United States,Houston,219054,244170,Partner,2024-Q3,2024-07
2024-07-02,Commercial Property Investment,Real Estate Technology,Asia Pacific,Australia,Newcastle,163842,173064,Retail,2024-Q3,2024-07
2024-07-02,Commercial Property Investment,Investment Properties,Asia Pacific,Singapore,Central,53923,61107,Mobile App,2024-Q3,2024-07
2024-07-02,Energy Management Solution,Construction Services,Europe,France,Bordeaux,92911,80657,Online,2024-Q3,2024-07
2024-07-02,Building Design Software,Construction Services,Asia Pacific,Singapore,West,76551,72359,Online,2024-Q3,2024-07
2024-07-02,Smart Building System,Construction Services,North America,Mexico,Juárez,276612,329732,Direct Sales,2024-Q3,2024-07
2024-07-02,Facility Maintenance Service,Construction Services,Europe,United Kingdom,Sheffield,156327,139427,Online,2024-Q3,2024-07
2024-07-02,Commercial Property Investment,Real Estate Technology,North America,Mexico,Mexico City,156660,137483,Direct Sales,2024-Q3,2024-07
2024-07-03,Virtual Property Tours,Real Estate Technology,Europe,Germany,Stuttgart,152124,210862,Online,2024-Q3,2024-07
2024-07-03,Property Valuation Service,Facility Management,Europe,Germany,Cologne,249340,180650,Retail,2024-Q3,2024-07
2024-07-03,Facility Maintenance Service,Construction Services,North America,United States,San Diego,147985,155335,Online,2024-Q3,2024-07
2024-07-03,Virtual Property Tours,Investment Properties,Asia Pacific,Japan,Yokohama,195495,185248,Partner,2024-Q3,2024-07
2024-07-03,Real Estate Analytics Tool,Construction Services,Europe,Germany,Cologne,253656,231899,Mobile App,2024-Q3,2024-07
2024-07-03,Lease Management System,Investment Properties,Asia Pacific,Singapore,Central,121447,99116,Mobile App,2024-Q3,2024-07
2024-07-03,Real Estate Analytics Tool,Real Estate Technology,Asia Pacific,Australia,Sydney,158199,114390,Mobile App,2024-Q3,2024-07
2024-07-03,Real Estate Analytics Tool,Real Estate Technology,Asia Pacific,Japan,Yokohama,341454,387197,Direct Sales,2024-Q3,2024-07
2024-07-03,Construction Project Management,Construction Services,Europe,United Kingdom,Liverpool,161191,223444,Partner,2024-Q3,2024-07
2024-07-03,Construction Equipment Rental,Construction Services,Europe,France,Bordeaux,109462,96698,Mobile App,2024-Q3,2024-07
2024-07-03,Real Estate Analytics Tool,Real Estate Technology,Asia Pacific,Japan,Nagoya,159364,197127,Retail,2024-Q3,2024-07
2024-07-03,Virtual Property Tours,Property Management,Europe,United Kingdom,Edinburgh,112364,89080,Online,2024-Q3,2024-07
2024-07-03,Property Valuation Service,Investment Properties,Asia Pacific,Singapore,West,167924,214521,Mobile App,2024-Q3,2024-07
2024-07-03,Property Management Software,Real Estate Technology,Europe,France,Toulouse,84237,67085,Partner,2024-Q3,2024-07
2024-07-03,Real Estate Analytics Tool,Investment Properties,Asia Pacific,Singapore,West,182897,223358,Mobile App,2024-Q3,2024-07
2024-07-03,Energy Management Solution,Investment Properties,Europe,France,Strasbourg,207458,281592,Direct Sales,2024-Q3,2024-07
2024-07-03,Lease Management System,Facility Management,Asia Pacific,Australia,Newcastle,141456,127041,Online,2024-Q3,2024-07
2024-07-03,Tenant Screening Service,Property Management,Asia Pacific,Singapore,East,147182,189329,Direct Sales,2024-Q3,2024-07
2024-07-03,Real Estate CRM Platform,Property Management,Europe,France,Lyon,213876,264481,Online,2024-Q3,2024-07
2024-07-04,Construction Equipment Rental,Facility Management,Asia Pacific,Australia,Sunshine Coast,86743,98367,Partner,2024-Q3,2024-07
2024-07-04,Energy Management Solution,Construction Services,North America,United States,San Jose,342439,251478,Direct Sales,2024-Q3,2024-07
2024-07-04,Virtual Property Tours,Facility Management,North America,United States,San Antonio,145531,198245,Direct Sales,2024-Q3,2024-07
2024-07-04,Real Estate CRM Platform,Investment Properties,Europe,United Kingdom,Cardiff,206245,268918,Mobile App,2024-Q3,2024-07
2024-07-04,Building Design Software,Facility Management,Europe,United Kingdom,Leeds,187369,238922,Mobile App,2024-Q3,2024-07
2024-07-04,Property Valuation Service,Construction Services,Asia Pacific,Japan,Saitama,238683,181569,Direct Sales,2024-Q3,2024-07
2024-07-04,Facility Maintenance Service,Construction Services,Asia Pacific,Japan,Sapporo,180120,199273,Partner,2024-Q3,2024-07
2024-07-04,Facility Maintenance Service,Real Estate Technology,North America,United States,Phoenix,423327,522065,Direct Sales,2024-Q3,2024-07
2024-07-04,Construction Project Management,Construction Services,Europe,France,Montpellier,224049,196772,Retail,2024-Q3,2024-07
2024-07-04,Real Estate Analytics Tool,Property Management,Asia Pacific,Singapore,West,148768,178417,Retail,2024-Q3,2024-07
2024-07-04,Virtual Property Tours,Investment Properties,Europe,France,Lyon,239169,181708,Retail,2024-Q3,2024-07
2024-07-04,Real Estate Analytics Tool,Facility Management,Asia Pacific,Australia,Canberra,173144,150262,Direct Sales,2024-Q3,2024-07
2024-07-04,Smart Building System,Construction Services,Europe,France,Toulouse,152450,184957,Partner,2024-Q3,2024-07
2024-07-04,Building Design Software,Investment Properties,Asia Pacific,Australia,Sydney,170828,190768,Online,2024-Q3,2024-07
2024-07-04,Construction Equipment Rental,Real Estate Technology,North America,United States,Chicago,133271,152309,Online,2024-Q3,2024-07
2024-07-04,Virtual Property Tours,Investment Properties,Asia Pacific,Singapore,East,215546,191534,Online,2024-Q3,2024-07
2024-07-05,Virtual Property Tours,Construction Services,North America,Mexico,Zapopan,116485,122775,Retail,2024-Q3,2024-07
2024-07-05,Real Estate Analytics Tool,Facility Management,North America,Mexico,Guadalajara,188830,161040,Partner,2024-Q3,2024-07
2024-07-05,Lease Management System,Property Management,Europe,Germany,Berlin,196417,220590,Mobile App,2024-Q3,2024-07
2024-07-05,Facility Maintenance Service,Facility Management,North America,Mexico,León,155138,192491,Online,2024-Q3,2024-07
2024-07-05,Property Valuation Service,Investment Properties,Asia Pacific,Singapore,East,47803,44063,Wholesale,2024-Q3,2024-07
2024-07-05,Construction Project Management,Property Management,Asia Pacific,Japan,Kobe,110237,125284,Retail,2024-Q3,2024-07
2024-07-05,Property Management Software,Facility Management,North America,United States,Houston,354483,374100,Direct Sales,2024-Q3,2024-07
2024-07-05,Facility Maintenance Service,Construction Services,Europe,France,Toulouse,224143,307817,Retail,2024-Q3,2024-07
2024-07-05,Smart Building System,Construction Services,Asia Pacific,Australia,Wollongong,119227,105536,Wholesale,2024-Q3,2024-07
2024-07-05,Construction Project Management,Facility Management,Europe,Germany,Munich,211530,244173,Wholesale,2024-Q3,2024-07
2024-07-05,Smart Building System,Investment Properties,Asia Pacific,Japan,Nagoya,139014,136479,Mobile App,2024-Q3,2024-07
2024-07-05,Facility Maintenance Service,Property Management,Europe,United Kingdom,Leeds,215682,198966,Partner,2024-Q3,2024-07
2024-07-05,Construction Project Management,Property Management,Europe,France,Marseille,176257,123738,Direct Sales,2024-Q3,2024-07
2024-07-06,Commercial Property Investment,Facility Management,Europe,United Kingdom,Glasgow,227945,164419,Direct Sales,2024-Q3,2024-07
2024-07-06,Real Estate Analytics Tool,Investment Properties,North America,United States,Philadelphia,81169,60997,Wholesale,2024-Q3,2024-07
2024-07-06,Smart Building System,Property Management,Asia Pacific,Japan,Yokohama,243533,190128,Online,2024-Q3,2024-07
2024-07-06,Facility Maintenance Service,Investment Properties,North America,Canada,Montreal,204476,172590,Mobile App,2024-Q3,2024-07
2024-07-06,Lease Management System,Facility Management,Asia Pacific,Singapore,Northeast,102573,84201,Retail,2024-Q3,2024-07
2024-07-06,Real Estate Analytics Tool,Investment Properties,Europe,Germany,Leipzig,109782,82027,Mobile App,2024-Q3,2024-07
2024-07-06,Virtual Property Tours,Property Management,North America,United States,Philadelphia,139070,105716,Mobile App,2024-Q3,2024-07
2024-07-06,Real Estate Analytics Tool,Real Estate Technology,Europe,Germany,Berlin,230145,322184,Online,2024-Q3,2024-07
2024-07-06,Commercial Property Investment,Facility Management,Asia Pacific,Australia,Perth,116455,104428,Retail,2024-Q3,2024-07
2024-07-06,Smart Building System,Construction Services,North America,Mexico,León,283040,386545,Direct Sales,2024-Q3,2024-07
2024-07-06,Construction Project Management,Real Estate Technology,Asia Pacific,Australia,Perth,85896,64455,Partner,2024-Q3,2024-07
2024-07-06,Facility Maintenance Service,Property Management,Europe,Germany,Hamburg,136774,132801,Wholesale,2024-Q3,2024-07
2024-07-06,Virtual Property Tours,Construction Services,Europe,Germany,Munich,186570,241208,Partner,2024-Q3,2024-07
2024-07-06,Building Design Software,Real Estate Technology,Asia Pacific,Japan,Nagoya,56869,46330,Partner,2024-Q3,2024-07
2024-07-06,Property Listing Platform,Facility Management,Asia Pacific,Japan,Kyoto,76660,91303,Online,2024-Q3,2024-07
2024-07-06,Construction Project Management,Facility Management,Asia Pacific,Japan,Kyoto,257163,342330,Direct Sales,2024-Q3,2024-07
2024-07-06,Real Estate CRM Platform,Investment Properties,Europe,Germany,Dortmund,78468,87760,Retail,2024-Q3,2024-07
2024-07-07,Building Design Software,Facility Management,Asia Pacific,Singapore,Central,312171,262272,Direct Sales,2024-Q3,2024-07
2024-07-07,Property Valuation Service,Facility Management,Asia Pacific,Singapore,Northeast,112346,140144,Retail,2024-Q3,2024-07
2024-07-07,Property Management Software,Property Management,Europe,Germany,Düsseldorf,85165,118648,Retail,2024-Q3,2024-07
2024-07-07,Commercial Property Investment,Facility Management,Asia Pacific,Singapore,Northeast,160785,120556,Mobile App,2024-Q3,2024-07
2024-07-07,Real Estate CRM Platform,Real Estate Technology,Europe,Germany,Berlin,126494,170690,Mobile App,2024-Q3,2024-07
2024-07-07,Real Estate Analytics Tool,Construction Services,Europe,Germany,Berlin,126334,141860,Mobile App,2024-Q3,2024-07
2024-07-07,Property Management Software,Facility Management,North America,United States,Dallas,195613,150887,Direct Sales,2024-Q3,2024-07
2024-07-07,Smart Building System,Facility Management,Asia Pacific,Singapore,West,253911,240816,Retail,2024-Q3,2024-07
2024-07-07,Virtual Property Tours,Property Management,Asia Pacific,Singapore,North,158946,129425,Online,2024-Q3,2024-07
2024-07-07,Construction Equipment Rental,Real Estate Technology,Europe,France,Bordeaux,92778,95413,Retail,2024-Q3,2024-07
2024-07-07,Building Design Software,Facility Management,Europe,Germany,Hamburg,114531,135164,Mobile App,2024-Q3,2024-07
2024-07-07,Tenant Screening Service,Real Estate Technology,Asia Pacific,Singapore,East,134795,106597,Mobile App,2024-Q3,2024-07
2024-07-07,Property Valuation Service,Investment Properties,North America,Canada,Edmonton,171076,225144,Mobile App,2024-Q3,2024-07
2024-07-07,Facility Maintenance Service,Investment Properties,Asia Pacific,Japan,Kyoto,164815,189231,Direct Sales,2024-Q3,2024-07
2024-07-07,Building Design Software,Real Estate Technology,North America,Canada,Mississauga,94736,67098,Wholesale,2024-Q3,2024-07
2024-07-07,Tenant Screening Service,Investment Properties,North America,Canada,Mississauga,209588,189141,Mobile App,2024-Q3,2024-07
2024-07-07,Property Listing Platform,Investment Properties,North America,Canada,Edmonton,190150,150705,Partner,2024-Q3,2024-07
2024-07-07,Property Management Software,Facility Management,Asia Pacific,Japan,Yokohama,227004,302795,Partner,2024-Q3,2024-07
2024-07-07,Energy Management Solution,Construction Services,Europe,Germany,Frankfurt,103574,144535,Online,2024-Q3,2024-07
2024-07-07,Virtual Property Tours,Investment Properties,Europe,United Kingdom,Bristol,319957,289181,Retail,2024-Q3,2024-07
2024-07-07,Virtual Property Tours,Property Management,Europe,France,Strasbourg,131082,93312,Partner,2024-Q3,2024-07
2024-07-07,Commercial Property Investment,Real Estate Technology,Asia Pacific,Australia,Sydney,130866,141398,Online,2024-Q3,2024-07
2024-07-08,Construction Equipment Rental,Property Management,Asia Pacific,Japan,Saitama,215176,153793,Direct Sales,2024-Q3,2024-07
2024-07-08,Tenant Screening Service,Investment Properties,Asia Pacific,Singapore,Central,61657,59974,Wholesale,2024-Q3,2024-07
2024-07-08,Building Design Software,Real Estate Technology,Europe,United Kingdom,Sheffield,253725,203360,Retail,2024-Q3,2024-07
2024-07-08,Real Estate Analytics Tool,Facility Management,North America,United States,New York,274468,208482,Direct Sales,2024-Q3,2024-07
2024-07-08,Energy Management Solution,Real Estate Technology,Asia Pacific,Australia,Wollongong,176879,181363,Partner,2024-Q3,2024-07
2024-07-08,Smart Building System,Investment Properties,Europe,Germany,Dortmund,145383,157161,Online,2024-Q3,2024-07
2024-07-08,Construction Project Management,Investment Properties,Asia Pacific,Australia,Melbourne,79342,77536,Mobile App,2024-Q3,2024-07
2024-07-08,Tenant Screening Service,Investment Properties,North America,Canada,Montreal,157837,155112,Retail,2024-Q3,2024-07
2024-07-08,Building Design Software,Facility Management,Europe,Germany,Düsseldorf,96884,78779,Wholesale,2024-Q3,2024-07
2024-07-08,Facility Maintenance Service,Investment Properties,Asia Pacific,Australia,Perth,65570,66956,Wholesale,2024-Q3,2024-07
2024-07-08,Property Valuation Service,Real Estate Technology,Asia Pacific,Singapore,North,92698,74654,Mobile App,2024-Q3,2024-07
2024-07-08,Construction Equipment Rental,Real Estate Technology,Europe,Germany,Leipzig,155745,177613,Online,2024-Q3,2024-07
2024-07-08,Energy Management Solution,Construction Services,Europe,Germany,Frankfurt,206456,218979,Partner,2024-Q3,2024-07
2024-07-08,Energy Management Solution,Investment Properties,Europe,France,Lille,97110,135261,Mobile App,2024-Q3,2024-07
2024-07-09,Virtual Property Tours,Property Management,Asia Pacific,Singapore,West,104461,73689,Wholesale,2024-Q3,2024-07
2024-07-09,Virtual Property Tours,Property Management,Europe,Germany,Dortmund,121672,111500,Mobile App,2024-Q3,2024-07
2024-07-09,Building Design Software,Property Management,North America,Mexico,Chihuahua,337667,310540,Retail,2024-Q3,2024-07
2024-07-09,Property Valuation Service,Construction Services,North America,Canada,Toronto,95158,67409,Wholesale,2024-Q3,2024-07
2024-07-09,Smart Building System,Construction Services,Europe,United Kingdom,Edinburgh,112040,155463,Partner,2024-Q3,2024-07
2024-07-09,Construction Equipment Rental,Construction Services,Europe,United Kingdom,Leeds,167475,165302,Direct Sales,2024-Q3,2024-07
2024-07-09,Construction Equipment Rental,Construction Services,Europe,France,Lyon,333467,307926,Direct Sales,2024-Q3,2024-07
2024-07-09,Energy Management Solution,Facility Management,Asia Pacific,Singapore,Central,159035,161841,Online,2024-Q3,2024-07
2024-07-09,Facility Maintenance Service,Investment Properties,Asia Pacific,Singapore,Central,153125,179893,Partner,2024-Q3,2024-07
2024-07-09,Real Estate CRM Platform,Property Management,Asia Pacific,Japan,Sapporo,167603,201646,Mobile App,2024-Q3,2024-07
2024-07-09,Energy Management Solution,Construction Services,Asia Pacific,Singapore,East,58597,51586,Online,2024-Q3,2024-07
2024-07-09,Construction Project Management,Construction Services,North America,United States,Houston,237470,299910,Direct Sales,2024-Q3,2024-07
2024-07-09,Construction Equipment Rental,Construction Services,Asia Pacific,Japan,Saitama,178046,166011,Online,2024-Q3,2024-07
2024-07-09,Property Valuation Service,Construction Services,Europe,United Kingdom,Liverpool,136104,122519,Retail,2024-Q3,2024-07
2024-07-09,Building Design Software,Real Estate Technology,Asia Pacific,Japan,Kawasaki,131192,180231,Retail,2024-Q3,2024-07
2024-07-09,Real Estate CRM Platform,Facility Management,Asia Pacific,Australia,Brisbane,92944,70416,Wholesale,2024-Q3,2024-07
2024-07-09,Lease Management System,Real Estate Technology,Europe,United Kingdom,Birmingham,149853,108816,Direct Sales,2024-Q3,2024-07
2024-07-09,Lease Management System,Construction Services,Asia Pacific,Japan,Nagoya,92046,123106,Retail,2024-Q3,2024-07
2024-07-09,Construction Project Management,Real Estate Technology,North America,United States,Houston,151179,161719,Partner,2024-Q3,2024-07
2024-07-09,Construction Project Management,Construction Services,North America,United States,Chicago,246562,312312,Partner,2024-Q3,2024-07
2024-07-09,Tenant Screening Service,Property Management,Asia Pacific,Singapore,West,170978,185837,Retail,2024-Q3,2024-07
2024-07-09,Lease Management System,Construction Services,North America,Canada,Hamilton,247903,292997,Direct Sales,2024-Q3,2024-07
2024-07-10,Real Estate Analytics Tool,Property Management,Europe,France,Nice,138459,166349,Partner,2024-Q3,2024-07
2024-07-10,Construction Equipment Rental,Real Estate Technology,Asia Pacific,Australia,Adelaide,197697,211797,Retail,2024-Q3,2024-07
2024-07-10,Property Listing Platform,Property Management,Europe,United Kingdom,London,118651,127135,Online,2024-Q3,2024-07
2024-07-10,Tenant Screening Service,Real Estate Technology,Europe,France,Bordeaux,226965,263971,Mobile App,2024-Q3,2024-07
2024-07-10,Property Listing Platform,Facility Management,North America,Canada,Mississauga,226748,253543,Mobile App,2024-Q3,2024-07
2024-07-10,Tenant Screening Service,Investment Properties,North America,United States,Philadelphia,144842,110945,Retail,2024-Q3,2024-07
2024-07-10,Energy Management Solution,Facility Management,Europe,United Kingdom,Manchester,158221,219893,Direct Sales,2024-Q3,2024-07
2024-07-10,Virtual Property Tours,Investment Properties,Asia Pacific,Japan,Nagoya,65793,58799,Partner,2024-Q3,2024-07
2024-07-10,Tenant Screening Service,Investment Properties,Europe,France,Toulouse,185057,252134,Retail,2024-Q3,2024-07
2024-07-10,Lease Management System,Facility Management,North America,United States,Philadelphia,152259,157231,Retail,2024-Q3,2024-07
2024-07-10,Lease Management System,Investment Properties,Europe,Germany,Cologne,120915,121801,Partner,2024-Q3,2024-07
2024-07-10,Property Management Software,Property Management,Asia Pacific,Australia,Gold Coast,126962,116946,Wholesale,2024-Q3,2024-07
2024-07-10,Building Design Software,Property Management,Europe,United Kingdom,Edinburgh,232532,191762,Partner,2024-Q3,2024-07
2024-07-10,Property Listing Platform,Property Management,Europe,Germany,Hamburg,248851,319850,Partner,2024-Q3,2024-07
2024-07-10,Property Valuation Service,Investment Properties,Europe,France,Nice,270103,236307,Online,2024-Q3,2024-07
2024-07-10,Commercial Property Investment,Real Estate Technology,Europe,United Kingdom,Manchester,168810,141325,Retail,2024-Q3,2024-07
2024-07-10,Lease Management System,Real Estate Technology,Asia Pacific,Australia,Brisbane,254654,196939,Retail,2024-Q3,2024-07
2024-07-10,Commercial Property Investment,Investment Properties,Asia Pacific,Japan,Sapporo,215305,158632,Online,2024-Q3,2024-07
2024-07-11,Facility Maintenance Service,Real Estate Technology,Asia Pacific,Australia,Gold Coast,186735,239540,Retail,2024-Q3,2024-07
2024-07-11,Construction Equipment Rental,Construction Services,Asia Pacific,Japan,Osaka,132646,119596,Partner,2024-Q3,2024-07
2024-07-11,Real Estate CRM Platform,Investment Properties,Europe,France,Marseille,88259,81352,Wholesale,2024-Q3,2024-07
2024-07-11,Construction Equipment Rental,Real Estate Technology,North America,Mexico,Zapopan,229582,233610,Retail,2024-Q3,2024-07
2024-07-11,Smart Building System,Construction Services,Asia Pacific,Singapore,East,231166,212478,Online,2024-Q3,2024-07
2024-07-11,Lease Management System,Property Management,Asia Pacific,Japan,Kobe,116336,111706,Partner,2024-Q3,2024-07
2024-07-11,Building Design Software,Property Management,Europe,Germany,Munich,95108,93343,Partner,2024-Q3,2024-07
2024-07-11,Energy Management Solution,Construction Services,Europe,United Kingdom,Sheffield,126136,170796,Direct Sales,2024-Q3,2024-07
2024-07-11,Real Estate CRM Platform,Construction Services,Asia Pacific,Singapore,West,106745,128485,Wholesale,2024-Q3,2024-07
2024-07-11,Property Listing Platform,Property Management,Europe,United Kingdom,Birmingham,303044,312191,Direct Sales,2024-Q3,2024-07
2024-07-11,Property Listing Platform,Property Management,Asia Pacific,Singapore,Northeast,124288,131729,Online,2024-Q3,2024-07
2024-07-11,Smart Building System,Property Management,Europe,Germany,Stuttgart,206036,255178,Online,2024-Q3,2024-07
2024-07-11,Building Design Software,Construction Services,Europe,France,Marseille,177015,135667,Mobile App,2024-Q3,2024-07
2024-07-11,Facility Maintenance Service,Construction Services,North America,United States,San Jose,271770,342203,Retail,2024-Q3,2024-07
2024-07-11,Property Management Software,Facility Management,North America,Canada,Winnipeg,168150,155350,Direct Sales,2024-Q3,2024-07
2024-07-11,Lease Management System,Real Estate Technology,Asia Pacific,Australia,Melbourne,141801,170409,Mobile App,2024-Q3,2024-07
2024-07-11,Smart Building System,Construction Services,Asia Pacific,Japan,Saitama,104038,137187,Mobile App,2024-Q3,2024-07
2024-07-11,Energy Management Solution,Investment Properties,Europe,France,Nantes,223806,208559,Mobile App,2024-Q3,2024-07
2024-07-12,Real Estate Analytics Tool,Facility Management,Asia Pacific,Australia,Canberra,81489,77719,Partner,2024-Q3,2024-07
2024-07-12,Property Valuation Service,Facility Management,North America,Canada,Ottawa,86989,99562,Retail,2024-Q3,2024-07
2024-07-12,Real Estate Analytics Tool,Real Estate Technology,Europe,Germany,Cologne,181131,242580,Mobile App,2024-Q3,2024-07
2024-07-12,Property Listing Platform,Real Estate Technology,North America,Canada,Calgary,199437,185829,Retail,2024-Q3,2024-07
2024-07-12,Smart Building System,Facility Management,Europe,France,Lyon,224712,158874,Retail,2024-Q3,2024-07
2024-07-12,Property Management Software,Real Estate Technology,North America,Canada,Mississauga,282807,273831,Partner,2024-Q3,2024-07
2024-07-12,Property Listing Platform,Facility Management,North America,Mexico,Monterrey,224825,303046,Online,2024-Q3,2024-07
2024-07-12,Virtual Property Tours,Investment Properties,Asia Pacific,Singapore,Northeast,55884,47993,Wholesale,2024-Q3,2024-07
2024-07-12,Tenant Screening Service,Facility Management,North America,Mexico,Guadalajara,119003,159854,Online,2024-Q3,2024-07
2024-07-12,Real Estate Analytics Tool,Construction Services,Asia Pacific,Singapore,North,177475,241943,Partner,2024-Q3,2024-07
2024-07-12,Real Estate CRM Platform,Real Estate Technology,Europe,Germany,Cologne,232801,198333,Partner,2024-Q3,2024-07
2024-07-12,Construction Equipment Rental,Construction Services,North America,Canada,Edmonton,136218,171596,Wholesale,2024-Q3,2024-07
2024-07-12,Virtual Property Tours,Construction Services,Asia Pacific,Australia,Perth,179085,178189,Retail,2024-Q3,2024-07
2024-07-12,Building Design Software,Construction Services,Europe,France,Nice,137409,138077,Partner,2024-Q3,2024-07
2024-07-12,Smart Building System,Construction Services,North America,United States,San Antonio,194970,161944,Mobile App,2024-Q3,2024-07
2024-07-12,Property Management Software,Facility Management,Asia Pacific,Australia,Brisbane,188312,168481,Wholesale,2024-Q3,2024-07
2024-07-12,Virtual Property Tours,Real Estate Technology,Europe,United Kingdom,Bristol,237368,216807,Partner,2024-Q3,2024-07
2024-07-12,Property Valuation Service,Investment Properties,Asia Pacific,Japan,Sapporo,143538,131620,Retail,2024-Q3,2024-07
2024-07-13,Smart Building System,Facility Management,North America,Canada,Toronto,310790,286649,Retail,2024-Q3,2024-07
2024-07-13,Commercial Property Investment,Facility Management,Asia Pacific,Japan,Kawasaki,129100,110255,Online,2024-Q3,2024-07
2024-07-13,Real Estate Analytics Tool,Construction Services,North America,United States,San Antonio,222025,286358,Wholesale,2024-Q3,2024-07
2024-07-13,Lease Management System,Real Estate Technology,Europe,Germany,Munich,93973,99102,Wholesale,2024-Q3,2024-07
2024-07-13,Facility Maintenance Service,Construction Services,Europe,United Kingdom,Glasgow,250426,336785,Partner,2024-Q3,2024-07
2024-07-13,Lease Management System,Real Estate Technology,Europe,United Kingdom,Manchester,138311,106687,Direct Sales,2024-Q3,2024-07
2024-07-13,Energy Management Solution,Construction Services,Europe,France,Strasbourg,356621,355453,Retail,2024-Q3,2024-07
2024-07-13,Tenant Screening Service,Facility Management,Asia Pacific,Japan,Kyoto,173694,134503,Retail,2024-Q3,2024-07
2024-07-13,Smart Building System,Property Management,North America,United States,San Jose,125288,175194,Retail,2024-Q3,2024-07
2024-07-13,Facility Maintenance Service,Property Management,North America,Canada,Calgary,182908,153848,Wholesale,2024-Q3,2024-07
2024-07-13,Facility Maintenance Service,Property Management,North America,Mexico,Monterrey,226965,229557,Direct Sales,2024-Q3,2024-07
2024-07-13,Energy Management Solution,Investment Properties,Asia Pacific,Japan,Yokohama,92641,117744,Online,2024-Q3,2024-07
2024-07-13,Construction Equipment Rental,Investment Properties,Europe,Germany,Munich,156018,173975,Mobile App,2024-Q3,2024-07
2024-07-13,Property Listing Platform,Construction Services,Europe,France,Strasbourg,266232,201227,Mobile App,2024-Q3,2024-07
